16255,01-Sep-91,-1,43 min.,1,0,"Adventure , Seinen","None found, add some",242,#9701,-1,"None found, add some",#7216,PG-13 - Teens 13 or older,5.82,Manga,Finished Airing,Artland,Meisou-Ou Border,OVA,77
16257,"Sep 23, 1998 to Oct 23, 1998",-1,40 min. per ep.,2,1,Magic,"None found, add some",130,#10864,-1,Magic Bus,#9038,None,5.25,Unknown,Finished Airing,"None found, add some",Efficus: Kono Omoi o Kimi ni...,OVA,16
16259,"Nov 29, 1991 to Mar 27, 1992",-1,25 min. per ep.,6,0,"Action , Sci-Fi","None found, add some",142,#10642,-1,Hero Communication,#9526,None,5.6,Unknown,Finished Airing,"None found, add some",Inferious Wakusei Senshi Gaiden Condition Green,OVA,15
16261,1999,-1,30 min.,1,1,"Action , Comedy","None found, add some",221,#9839,-1,"None found, add some",#8684,PG-13 - Teens 13 or older,5.74,Unknown,Finished Airing,"None found, add some",Arisa\xe2\x98\x86Good Luck,OVA,42
16263,03-Aug-95,-1,15 min.,1,0,"Kids , Slice of Life","None found, add some",99,#11487,-1,Tezuka Productions,#9867,G - All Ages,6.18,Unknown,Finished Airing,"None found, add some",Konchuu Tsurezuregusa,OVA,11
16273,07-Nov-12,-1,23 min.,1,43,"Slice of Life , Comedy , Romance , School , Seinen","None found, add some","29,472",#1829,-1,"None found, add some",#1286,PG-13 - Teens 13 or older,7.6,4-koma manga,Finished Airing,AIC,Acchi Kocchi (TV): Place=Princess,Special,"17,379"
16287,20-Dec-12,-1,30 min.,1,7,"Action , Comedy , Super Power , Fantasy , Shounen","None found, add some","9,415",#3308,-1,Shueisha,#1351,PG-13 - Teens 13 or older,7.58,Manga,Finished Airing,Toei Animation,One Piece: Romance Dawn,OVA,"3,728"
16303,"Apr 9, 1984 to Sep 28, 1984",Unknown,24 min. per ep.,23,0,"Comedy , Sci-Fi","None found, add some",127,#10908,Spring 1984,"Nihon Ad Systems , Fuji TV , Gakken",#8880,PG - Children,6.25,Manga,Finished Airing,"Studio Pierrot , Studio Gallop",Chikkun Takkun,TV,8
16317,"Jan 6, 2013 to Mar 24, 2013",Unknown,2 min. per ep.,12,11,"Comedy , School , Seinen","None found, add some","10,267",#3196,Winter 2013,"DAX Production , Hotline",#6863,PG-13 - Teens 13 or older,6.01,Manga,Finished Airing,"None found, add some",Ishida to Asakura (Ishida & Asakura),TV,"5,902"
16319,26-Jan-13,-1,3 min. per ep.,2,0,"Comedy , Romance , School , Seinen , Slice of Life","None found, add some","2,824",#5367,-1,"None found, add some",#7063,PG-13 - Teens 13 or older,5.9,Unknown,Finished Airing,Silver Link.,Asako Get You!!,OVA,"1,471"
16331,17-Nov-12,-1,6 min.,1,3,"Action , Cars , Sci-Fi","None found, add some","4,832",#4365,-1,"None found, add some",#5272,PG-13 - Teens 13 or older,6.53,Original,Finished Airing,Production I.G,Next A-Class,ONA,"2,949"
16335,19-Nov-12,-1,24 min.,1,2,"Action , Mecha , Military , Sci-Fi","None found, add some","5,745",#4070,-1,TV Tokyo,#6158,R+ - Mild Nudity,6.28,Unknown,Finished Airing,"Satelight , ixtl",Muv-Luv Alternative: Total Eclipse Recap - Climax Chokuzen Special,Special,"2,948"
16345,"Oct, 1994",-1,34 min.,1,0,"Action , Adventure , Comedy , Martial Arts , Shounen","None found, add some",320,#9260,-1,"None found, add some",#6729,PG-13 - Teens 13 or older,6.07,Manga,Finished Airing,Studio Pierrot,Ninkuu: Knife no Bohyou,Special,107
16347,"Dec 5, 2012 to Jul 12, 2013",Unknown,1 min. per ep.,13,0,Comedy,"None found, add some","1,085",#7234,Winter 2013,"None found, add some",#5129,PG-13 - Teens 13 or older,6.57,Original,Finished Airing,Kanaban Graphics,Usavich V,TV,577
16353,"Jul 5, 2013 to Sep 27, 2013",Fridays at 02:05 (JST),24 min. per ep.,13,374,"Comedy , Romance , School",Sentai Filmworks,"89,631",#768,Summer 2013,"Aniplex , Dentsu , Mainichi Broadcasting System",#1678,PG-13 - Teens 13 or older,7.47,Manga,Finished Airing,Doga Kobo,Love Lab,TV,"39,379"
16355,"Apr 4, 2013 to Jun 27, 2013",Unknown,24 min. per ep.,13,129,"Action , Romance , Fantasy , Seinen",Sentai Filmworks,"66,206",#1004,Spring 2013,Media Factory,#3923,R - 17+ (violence & profanity),6.86,Manga,Finished Airing,Studio Gokumi,Dansai Bunri no Crime Edge (The Severing Crime Edge),TV,"29,015"
16363,"Mar 29, 2013 to Sep 30, 2014",-1,24 min. per ep.,4,6,"Action , Adventure , Ecchi , Fantasy","None found, add some","6,243",#3932,-1,"Genco , Hoods Entertainment",#6505,R+ - Mild Nudity,6.17,Other,Finished Airing,Arms,Vanquished Queens,OVA,"2,010"
16371,16-Apr-10,-1,5 min. per ep.,10,0,"Slice of Life , Comedy","None found, add some",381,#8971,-1,CoMix Wave Films,#7428,G - All Ages,5.7,Original,Finished Airing,"None found, add some",Peeping Life: The Perfect Emotion,OVA,132
16373,27-Jan-11,-1,5 min. per ep.,10,0,"Slice of Life , Comedy","None found, add some",346,#9145,-1,CoMix Wave Films,#7586,G - All Ages,5.58,Original,Finished Airing,"None found, add some",Peeping Life: The Perfect Evolution,OVA,121
16377,23-Sep-11,-1,5 min. per ep.,10,0,"Slice of Life , Comedy","None found, add some",268,#9535,-1,CoMix Wave Films,#7130,G - All Ages,5.87,Unknown,Finished Airing,"None found, add some",Peeping Life: The Perfect Extension,OVA,61
16381,25-Oct-14,-1,28 min.,1,3,Fantasy,"None found, add some","2,852",#5346,-1,"Rakuonsha , Kenji Studio",#7073,PG - Children,5.9,Original,Finished Airing,Nexus,Santa Company,Movie,"1,322"
16385,"Jan 11, 2015 to Mar 29, 2015",Unknown,23 min. per ep.,12,70,"Action , Adventure , Fantasy , Magic","None found, add some","38,623",#1545,Winter 2015,"Aniplex , Starchild Records , Bandai Namco Games , Glovision",#2877,PG-13 - Teens 13 or older,7.15,Original,Finished Airing,Seven Arcs Pictures,Dog Days'',TV,"16,498"
16389,"Nov 10, 2012 to Nov 13, 2012",-1,8 min. per ep.,2,0,"Adventure , Comedy , Kids , Sci-Fi","None found, add some",239,#9725,-1,Solid Vox,#7856,PG - Children,5.36,Original,Finished Airing,MAPPA,Komachi to Dangorou,ONA,89
16393,"Oct 4, 1987 to Oct 2, 1988",Unknown,25 min. per ep.,50,0,"Comedy , Mystery","None found, add some",139,#10689,Fall 1987,"Yomiko Advertising , Fuji TV",#10371,G - All Ages,6.79,Manga,Finished Airing,Studio Pierrot,Norakuro-kun,TV,14
16395,04-Feb-13,-1,27 min.,1,12,"Comedy , School , Shounen","None found, add some","12,531",#2934,-1,Shueisha,#464,PG-13 - Teens 13 or older,8.06,Manga,Finished Airing,Tatsunoko Production,SKET Dance OVA,OVA,"6,818"
16397,"Apr 5, 2013 to Jun 28, 2013",Unknown,23 min. per ep.,13,73,"Ecchi , Romance , School",Sentai Filmworks,"58,665",#1116,Spring 2013,"TBS , Enterbrain , BS-TBS , RAY",#6018,PG-13 - Teens 13 or older,6.32,Visual novel,Finished Airing,Madhouse,Photokano (Photo Kano),TV,"25,914"
16399,08-Dec-77,-1,1 hr. 2 min.,1,0,"Action , Sci-Fi , Super Power","None found, add some",103,#11394,-1,"None found, add some",#9567,G - All Ages,4.33,Unknown,Finished Airing,"None found, add some",Jeonja Ingan 337,Movie,15
16405,"Dec 22, 2012 to Mar 16, 2013",Unknown,3 min. per ep.,12,7,Comedy,"None found, add some","13,656",#2812,Winter 2013,"Toho , Bouncy",#7024,PG-13 - Teens 13 or older,5.92,Original,Finished Airing,Charaction,"Boku no Imouto wa ""Osaka Okan""",TV,"6,238"
16415,05-Dec-08,-1,5 min.,1,2,"Comedy , Mecha","None found, add some","1,534",#6592,-1,Bandai,#5747,PG-13 - Teens 13 or older,6.4,Unknown,Finished Airing,"None found, add some",Sousei no Aquarion Special,Special,325
16417,"Jan 10, 2013 to Mar 28, 2013",Unknown,23 min. per ep.,12,657,"Slice of Life , Comedy",Sentai Filmworks,"146,842",#418,Winter 2013,"Animax , Pony Canyon , TBS , Animation Do",#2091,PG-13 - Teens 13 or older,7.37,Original,Finished Airing,Kyoto Animation,Tamako Market,TV,"63,673"
16419,"Feb 3, 2013 to Jan 26, 2014",Unknown,24 min. per ep.,49,65,"Action , Fantasy , Magic , Shoujo","None found, add some","8,271",#3507,Winter 2013,Asahi Broadcasting Corporation,#3772,G - All Ages,6.9,Original,Finished Airing,Toei Animation,Dokidoki! Precure,TV,"2,657"
