ID,Aired,Duration,Episodes,Genres,Popularity,Ranked,Rating,Score,ScoredBy,Source,Status,Studios,Title,Type
27601,17-Sep-14,24 min.,1,"Comedy, Drama, Romance, School, Slice of Life",1532,1391,PG-13 - Teens 13 or older,7.56,20993,Light novel,Finished Airing,Kyoto Animation,Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,Special
27603,"Dec 19, 2014 to Jan 23, 2015",15 min. per ep.,2,Hentai,5370,/A,Rx - Hentai,6.72,1151,Visual novel,Finished Airing,"None found, add some",Jutaijima,OVA
27613,"Aug 27, 2014 to Dec 19, 2014",5 min. per ep.,3,Comedy,3974,7029,PG-13 - Teens 13 or older,5.93,2061,Card game,Finished Airing,J.C.Staff,Selector Infected WIXOSS: Midoriko-san to Piruruku-tan,Special
27619,18-Apr-14,3 min. per ep.,6,"Comedy, Ecchi, Romance, Shounen, Slice of Life",4929,6300,PG-13 - Teens 13 or older,6.23,1143,Manga,Finished Airing,Brain's Base,Ane Log: Moyako Neesan no Honpen wo Tobidashite Tomaranai Monologue,OVA
27621,"Apr 28, 2013 to Jul 28, 2013",3 min. per ep.,14,"Comedy, Parody",9197,6925,PG-13 - Teens 13 or older,5.98,55,Unknown,Finished Airing,DLE,Glass no Kamen Desu ga to Z,TV
27629,"Jan 3, 2015 to Mar 28, 2015",22 min. per ep.,12,"Comedy, Mystery, Super Power",4172,5471,PG-13 - Teens 13 or older,6.48,1818,Card game,Finished Airing,"J.C.Staff,       Nomad",Tantei Kageki Milky Holmes TD,TV
27631,"Jul 12, 2015 to Mar 26, 2016",23 min. per ep.,13,"Action, Military, Sci-Fi, Fantasy",233,1486,R - 17+ (violence & profanity),7.53,95489,Game,Finished Airing,ufotable,God Eater,TV
27633,"Sep 24, 2014 to Feb 25, 2015",3 min. per ep.,6,"Comedy, Romance, School",1090,597,PG-13 - Teens 13 or older,7.95,33770,4-koma manga,Finished Airing,Doga Kobo,Gekkan Shoujo Nozaki-kun Specials,Special
27651,4-Jul-01,15 min.,1,"Drama, Sci-Fi",9749,9226,G - All Ages,6.8,20,Unknown,Finished Airing,Toei Animation,Ginga Tetsudou 999: Niji no Michishirube,Movie
27653,18-Apr-15,1 hr. 43 min.,1,"Action, Adventure, Comedy, Kids, Shounen",8138,2768,G - All Ages,7.18,220,Manga,Finished Airing,Shin-Ei Animation,Crayon Shin-chan Movie 23: Ora no Hikkoshi Monogatari - Saboten Daisuugeki,Movie
27655,"Jan 11, 2015 to Mar 29, 2015",23 min. per ep.,12,"Action, Mecha, Sci-Fi, Space",351,2959,R - 17+ (violence & profanity),7.13,104225,Original,Finished Airing,"A-1 Pictures,       TROYCA",Aldnoah.Zero 2nd Season (Aldnoah.Zero),TV
27663,"Apr 5, 2015 to Sep 20, 2015",24 min. per ep.,25,"Sports, Romance, School, Shounen",1452,319,PG-13 - Teens 13 or older,8.19,24903,Manga,Finished Airing,Studio Pierrot,Baby Steps 2nd Season,TV
