ID,Aired,Duration,Episodes,Genres,Popularity,Ranked,Rating,Score,Source,Status,Studios,Title,Type
2808,15-Dec-05,30 min.,1,"Action, Mecha, Sci-Fi, Shounen",3789,2046,PG - Children,7.38,Game,Finished Airing,Xebec,Irregular Hunter X: The Day of Sigma (Megaman X - The Day of Sigma),OVA
2809,"Oct 1, 1977 to Mar 25, 1978",25 min. per ep.,26,"Adventure, Comedy, Kids",9693,5205,G - All Ages,6.55,Unknown,Finished Airing,Tatsunoko Production,Fuusen Shoujo Temple-chan (Temple the Balloonist),TV
2810,"Apr 19, 1991 to Mar 27, 1992",25 min. per ep.,39,"Kids, Historical, Drama, Shoujo",5640,3004,G - All Ages,7.12,Book,Finished Airing,"None found, add some",Anime Himitsu no Hanazono (The Secret Garden),TV
2811,20-Jul-69,1 hr.,1,"Adventure, Drama, Mecha, Sci-Fi",5344,4034,PG - Children,6.84,Unknown,Finished Airing,Toei Animation,Soratobu Yuureisen,Movie
2813,"Apr 3, 1989 to Mar 29, 1990",23 min. per ep.,52,"Adventure, Fantasy, Comedy, Drama, Kids",4883,2035,G - All Ages,7.38,Other,Finished Airing,"None found, add some",Chiisana Ahiru no Ooki na Ai no Monogatari: Ahiru no Kwak,TV
2814,"Apr 5, 1988 to Mar 27, 1989",25 min. per ep.,52,"Comedy, Kids",8259,3935,G - All Ages,6.86,Original,Finished Airing,Telescreen BV,Dondon Domeru to Ron (Wowser),TV
2815,"Apr 7, 1987 to Mar 29, 1988",24 min. per ep.,52,"Comedy, Kids",7455,2771,G - All Ages,7.18,Other,Finished Airing,Telescreen BV,Geragera Boes Monogatari (Ox Tales),TV
2816,"Apr 1, 1978 to Jan 27, 1979",24 min. per ep.,44,"Adventure, Drama, Mecha, Romance, Sci-Fi, Shounen",5029,2505,PG - Children,7.26,Unknown,Finished Airing,"Sunrise,       Toei Animation",Toushou Daimos (Daimos),TV
2817,"Apr 4, 1996 to Oct 3, 1996",24 min. per ep.,26,"Kids, Adventure, Fantasy, Romance",4725,1571,G - All Ages,7.5,Unknown,Finished Airing,Tatsunoko Production,Cinderella Monogatari (The Story of Cinderella),TV
2818,"Apr 7, 1989 to Mar 2, 1990",24 min. per ep.,41,"Action, Sci-Fi, Comedy, Magic, Fantasy, Mecha, Shounen",7471,2296,G - All Ages,7.31,Original,Finished Airing,Sunrise,Madou King Granzort (Mado King Granzort),TV
